id,AIFM1,BCLAF1,BDP1,CENPH (64946),CENPI (2491),CTPS1 (1503),FAM50A (9130),FDPS (2224),GAGE2A (729447),GEMIN8 (54960),GJA3 (2700),KDM2A (22992),KIF4A (24137),KLC2 (64837),LAS1L (81887),MBTPS2 (51360),MED12 (9968),MED14 (9282),POLA1 (5422),PSMC1 (5700),RBMX2 (51634),RPL39 (6170),SGF29 (112869),SIN3A (25942),SNAP23 (8773),STIL (6491),TEX10 (54881),TGS1 (96764)
ACH-001322,-0.637583448,-0.827127407,-0.891830669,-0.548152578,-0.905536088,-0.345815483,-1.014859021,-0.415355393,-0.662749578,-0.952190735,-0.648664954,-0.714246404,-1.124242216,-0.983618093,-0.668854506,-0.886102068,-0.527284728,-1.003626967,-0.822023246,-0.918680279,-0.960211743,-0.660481785,-0.782856137,-0.937920295,-0.78576704,-0.519140046,-0.5378629,-1.070779164
ACH-001328,-1.352945448,-0.473911949,-0.975203996,-0.833753447,-0.866761787,-0.752098083,-0.436806964,-0.518902131,-0.718635706,-0.40915174,-0.871084739,-0.738838238,-0.438443081,-0.828824173,-0.919159368,-0.690948307,-0.709228391,-0.91619613,-0.922729221,-0.765325779,-0.915463592,-0.595337417,0.067211963,-0.453665303,-1.119258416,-0.744361454,-0.79131209,-0.557331186
ACH-001329,-0.229317469,-1.089677805,-0.881715091,-0.881693453,-0.902946554,-0.252708256,-0.498539709,-0.494614075,-0.662742163,-0.803130166,-0.635372151,-0.549229484,-0.527780881,-0.826847818,-0.889518493,-0.753685637,-0.437608094,-1.096414464,-1.118705715,-0.724673413,-0.849488829,-0.822380032,-0.597012599,-0.755222159,-0.231304776,-0.759854381,-0.920103773,-0.814406476
ACH-001332,-1.38105464,-0.734717663,-0.580816935,-0.806153418,-0.70544269,-1.023086427,-0.553555607,-0.782984616,-0.828940616,-1.186053075,-0.476769351,-0.885337966,-0.724644699,-0.923137132,-1.126014739,-0.600190882,-0.740957043,-0.900434796,-0.918917083,-0.74294397,-0.768961808,-0.674784345,-0.691912139,-0.575497069,-0.943163707,-0.690614782,-0.849233974,-0.649813042
ACH-001333,-0.179417603,-0.647599736,-1.164944847,-1.01383732,-0.946127432,-0.308598354,-1.403957632,-0.436796354,-0.800983274,-0.679935471,-0.354997516,-1.007349009,-1.053817435,-0.974627172,-0.801743533,-0.952096312,-0.393807211,-0.777115094,-1.060277069,-0.909547917,-1.055367745,-0.728684743,-0.577064826,-0.580831099,-0.760868088,-0.808751073,-0.872710059,-0.883994753
ACH-001336,-1.102925717,-0.903802661,-0.781793729,-0.720922133,-0.571478081,-0.444617911,-0.423006237,-0.767172666,-0.780026929,-0.854469319,-0.61898719,-0.861583458,-0.688929713,-0.791674696,-1.185772898,-1.396214736,-1.042829938,-0.884218404,-0.89380946,-0.544604884,-1.06746147,-0.685699877,-1.286661201,-0.949777352,-0.534842406,-0.836823529,-0.899990013,-0.632298655
ACH-001340,-0.230663256,-0.727150981,-0.662303342,-0.695658749,-0.788707692,-0.4991706,-0.409411253,-1.089338852,-0.744177211,-0.879186027,-0.579637978,-1.035659054,-0.574234935,-0.760320256,-0.817634533,-0.752126043,-0.588794714,-1.069587997,-1.006862297,-0.77162405,-1.036020816,-0.683047734,-0.781673173,-0.873607932,-1.041539092,-0.757665844,-0.679339642,-0.563761628
ACH-001346,-1.178969245,-0.733909066,-0.85772817,-0.635486024,-0.900930442,-0.985476117,-0.436835084,-0.584765801,-0.784706486,-0.830534114,-0.618853994,-1.028703852,-0.900029426,-0.986034677,-1.196945914,-0.713263924,-1.079949832,-1.161518487,-0.873865825,-0.729397271,-0.824176172,-0.660673815,-0.695477808,-0.94722917,-0.876662055,-1.012151757,-0.711015946,-0.64525404
ACH-001353,-0.351082237,-0.604992983,-0.620212849,-0.787531593,-0.7557821,-1.051392867,-0.340111916,-1.521090484,-0.819233608,-1.101838627,-0.872147861,-0.598465684,-1.184250688,-0.871403561,-1.068329135,-1.606776855,-1.057222409,-1.174230379,-1.058067271,-0.558602093,-1.007499941,-0.808454922,-0.961671185,-0.595027199,-1.556225677,-0.82963041,-0.830403764,-0.61456649
ACH-001354,-1.064941364,-1.029967825,-0.831961963,-0.998352134,-0.809379308,-0.45624433,-1.248627229,-0.899203901,-0.763662172,-0.599254382,-0.955948639,-0.648042481,-1.288984422,-0.645782989,-1.056833661,-0.621709548,-1.081593205,-0.81078352,-0.737143882,-0.608721991,-0.59412742,-0.418684772,-1.180400384,-1.031963882,-0.254740969,-0.508987357,-0.730715834,-1.313155307
ACH-001366,-0.302729814,-0.622311991,-0.823966675,-0.831694758,-0.946144845,-0.895910167,-1.357448676,-0.934870752,-0.628143028,-0.553656791,-0.73769424,-0.553022948,-0.473102982,-0.63767163,-1.123218954,-1.153369291,-0.944146078,-1.242784805,-1.441589346,-0.982653507,-0.836699579,-0.454363711,-0.865736833,-1.088987766,-0.044798141,-0.774806627,-0.802725786,-0.800734526
ACH-001368,-1.178292556,-1.015679492,-0.824310941,-0.789254187,-0.611972112,-1.051989087,-0.390969066,-0.798141147,-0.687824574,-0.823571912,-0.880249102,-0.984629741,-0.846771085,-0.635767522,-0.886512901,-0.5496069,-0.639434636,-0.967774702,-1.019580998,-0.981275213,-1.092399089,-0.762318857,-0.393606058,-0.702417826,-0.841996371,-0.987247065,-0.804030907,-0.824065319
ACH-001369,-0.559315974,-0.602879174,-0.758087153,-1.152836214,-0.955515924,-0.792294274,-0.224919541,-0.422137813,-0.705683538,-0.968079681,-0.580485295,-0.654548315,-0.910791191,-0.908330702,-1.132007368,-0.822826352,-0.76369865,-0.834004025,-1.124471028,-0.413854882,-0.584587247,-0.801375859,-0.473218712,-0.808773343,-0.535727435,-0.796960218,-0.8506412,-0.797943996
ACH-001374,-0.878933339,-0.672442087,-0.569706073,-0.455565034,-0.660384589,-0.661909013,-0.658846332,-0.887309555,-0.852467828,-0.989043634,-0.757950701,-0.927601149,-0.996875171,-0.463963908,-1.228781535,-0.616864477,-0.229270095,-0.955931214,-0.990446704,-1.135391767,-1.152583872,-0.40525569,-0.689071062,-1.358707631,-0.508927239,-0.840687099,-0.757488058,-0.410598452
ACH-001375,-0.973421162,-0.636237738,-0.55695279,-0.774858043,-0.858065705,-0.850751135,-0.371814768,-0.449190605,-0.87317422,-1.158048294,-0.612022524,-1.189967385,-0.432191316,-0.594989188,-1.109813336,-0.66399142,-0.839379588,-1.152663526,-1.142255534,-0.761547576,-0.951200279,-0.806367303,-0.84147304,-0.637065247,-0.925588307,-0.905366183,-1.021986141,-0.953449861
ACH-001377,-0.604132368,-0.884759223,-0.69240491,-0.632002253,-0.639505803,-0.262174635,-0.300332845,-0.326799207,-0.750741372,-0.811398934,-1.056573137,-0.561905638,-0.817193646,-0.698013095,-1.037692345,-0.607834258,-0.754645094,-0.813693313,-0.862453854,-0.92594447,-0.857443235,-0.70129393,-0.998878064,-0.757363211,-1.224142066,-1.078811868,-0.798946635,-0.785857677
